25, 171, 25.3248, -9.70601, -0.997033, -3.87375, -0.489663, -1.93913, -1.82271, 8, 
25.5, 171, 24.8263, -11.6429, -1.0079, -3.87094, -0.525638, -1.92969, -1.82552, 8, 
26, 171, 24.3223, -13.5783, -1.03115, -3.86481, -0.561891, -1.91945, -1.83153, 8, 
26.5, 171, 23.8068, -15.5108, -1.06416, -3.85585, -0.597718, -1.90859, -1.84008, 8, 
27, 171, 23.2747, -17.4387, -1.10459, -3.84446, -0.632535, -1.89734, -1.85058, 8, 
27.5, 171, 22.7224, -19.3609, -1.15035, -3.83102, -0.665875, -1.8859, -1.8625, 8, 
28, 171, 22.1472, -21.2764, -1.19963, -3.81587, -0.69738, -1.87448, -1.87539, 8, 
28.5, 171, 21.5474, -23.1844, -1.28754, -3.78711, -0.816151, -1.8259, -1.89852, 8, 
29, 171, 20.9036, -25.0779, -1.43507, -3.73371, -1.0015, -1.73118, -1.93774, 8, 
29.5, 171, 20.1861, -26.9448, -1.66325, -3.6378, -1.25576, -1.55662, -1.99963, 8, 
30, 171, 19.3545, -28.7637, -2.00344, -3.46211, -1.5876, -1.21635, -2.09539, 8, 
30.5, 171, 18.3527, -30.4947, -2.47922, -3.13902, -1.9157, -0.574538, -2.23929, 8, 
31, 171, 17.1131, -32.0642, -3.03798, -2.60206, -1.97028, 0.343514, -2.43333, 8, 
31.5, 171, 15.5941, -33.3653, -3.53828, -1.86563, -1.64981, 1.13055, -2.65637, 8, 
32, 171, 13.825, -34.2981, -3.87224, -1.00287, -1.22439, 1.58141, -2.88817, 8, 
32.5, 171, 11.8889, -34.7995, -3.99926, -0.0769902, -0.780005, 1.84163, -3.12234, 8, 
33, 171, 9.88925, -34.838, -3.91962, 0.797868, -0.60693, 1.90569, 2.94078, 8, 
33.5, 171, 7.92944, -34.4391, -3.67677, 1.57523, -0.439513, 1.95111, 2.73682, 8, 
34, 171, 6.09105, -33.6515, -3.32136, 2.22902, -0.289537, 1.97893, 2.55052, 8, 
34.5, 171, 4.43037, -32.5369, -2.90323, 2.75159, -0.164117, 1.99325, 2.38301, 8, 
35, 171, 2.97875, -31.1612, -2.4655, 3.14981, -0.0657448, 1.99892, 2.23493, 8, 
35.5, 171, 1.746, -29.5862, -2.04115, 3.44001, 0.00636263, 1.99999, 2.10632, 8, 
36, 171, 0.725428, -27.8662, -1.65233, 3.64277, 0.0547474, 1.99925, 1.99663, 8, 
36.5, 171, -0.100737, -26.0448, -1.3115, 3.77888, 0.0826024, 1.99829, 1.90485, 8, 
37, 171, -0.756488, -24.1554, -1.02374, 3.86678, 0.0931296, 1.99783, 1.82961, 8, 
37.5, 171, -1.26836, -22.222, -0.789081, 3.9214, 0.0892533, 1.99801, 1.76937, 8, 
38, 171, -1.6629, -20.2613, -0.604524, 3.95405, 0.0735322, 1.99865, 1.72251, 8, 
38.5, 171, -1.96516, -18.2843, -0.465498, 3.97282, 0.0481769, 1.99942, 1.68744, 8, 
39, 171, -2.19791, -16.2979, -0.36681, 3.98315, 0.015103, 1.99994, 1.66263, 8, 
39.5, 171, -2.38132, -14.3063, -0.303207, 3.98849, -0.0240126, 1.99986, 1.64667, 8, 
40, 171, -2.53292, -12.3121, -0.269676, 3.9909, -0.0676804, 1.99885, 1.63827, 8, 
40.5, 171, -2.66776, -10.3166, -0.261568, 3.99144, -0.114563, 1.99672, 1.63623, 8, 
41, 171, -2.79854, -8.3209, -0.274643, 3.99056, -0.163456, 1.99331, 1.63951, 8, 
41.5, 171, -2.93586, -6.32561, -0.30506, 3.98835, -0.213276, 1.9886, 1.64714, 8, 
42, 171, -3.08839, -4.33144, -0.349359, 3.98471, -0.263061, 1.98262, 1.65825, 8, 
42.5, 171, -3.26307, -2.33908, -0.404431, 3.9795, -0.311973, 1.97552, 1.67208, 8, 
43, 171, -3.46529, -0.349332, -0.4675, 3.97259, -0.3593, 1.96746, 1.68794, 8, 
43.5, 171, -3.69904, 1.63696, -0.536104, 3.96391, -0.404458, 1.95868, 1.70523, 8, 
44, 171, -3.96709, 3.61892, -0.608083, 3.95351, -0.446993, 1.94941, 1.72341, 8, 
44.5, 171, -4.27113, 5.59567, -0.681568, 3.94151, -0.486571, 1.93991, 1.74202, 8, 
45, 171, -4.61192, 7.56642, -0.75497, 3.92811, -0.522974, 1.93041, 1.76068, 8, 
45.5, 171, -4.9894, 9.53048, -0.826967, 3.91358, -0.556082, 1.92114, 1.77904, 8, 
46, 171, -5.40288, 11.4873, -0.896488, 3.89824, -0.585866, 1.91227, 1.79684, 8, 
